,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,63.55,69,12,11.21,NZ,1610502336
1,rikitea,-23.1203,-134.9692,77.99,78,3,16.73,PF,1610502336
2,san patricio,28.017,-97.5169,44.6,70,90,4.61,US,1610502336
3,tuatapere,-46.1333,167.6833,75.22,43,0,3.51,NZ,1610502336
4,batagay,67.6333,134.6333,-43.56,71,1,1.63,RU,1610502337
5,grand-santi,4.25,-54.3833,72.0,97,100,2.24,GF,1610502337
6,cidreira,-30.1811,-50.2056,72.57,80,100,14.07,BR,1610502337
7,punta arenas,-53.15,-70.9167,48.2,53,20,17.27,CL,1610502337
8,masty,53.4122,24.5387,27.88,98,100,11.01,BY,1610502338
9,shimoda,34.6667,138.95,51.8,54,20,5.75,JP,1610502338
10,puerto ayora,-0.7393,-90.3518,75.0,93,100,1.99,EC,1610502338
11,georgetown,5.4112,100.3354,79.0,78,20,7.78,MY,1610502162
12,labuhan,-6.8844,112.2051,83.14,77,93,12.28,ID,1610502339
13,urusha,54.05,122.9,-15.84,86,99,2.06,RU,1610502339
14,cabo san lucas,22.8909,-109.9124,68.0,40,75,5.75,MX,1610502339
15,landerneau,48.4525,-4.2525,48.2,93,90,13.8,FR,1610502340
16,hilo,19.7297,-155.09,78.8,65,90,4.61,US,1610502200
17,mataura,-46.1927,168.8643,78.84,39,73,3.76,NZ,1610502341
18,souillac,-20.5167,57.5167,77.0,88,75,13.8,MU,1610502341
19,port alfred,-33.5906,26.891,66.99,96,100,13.58,ZA,1610502341
20,khatanga,71.9667,102.5,-21.01,87,100,6.29,RU,1610502341
21,tasiilaq,65.6145,-37.6368,30.2,80,90,43.73,GL,1610502342
22,ushuaia,-54.8,-68.3,48.2,57,20,13.8,AR,1610502342
23,deputatskiy,69.3,139.9,-37.97,77,59,0.25,RU,1610502342
24,vardo,70.3705,31.1107,15.96,94,100,27.81,NO,1610502342
25,honningsvag,70.9821,25.9704,19.89,94,100,31.21,NO,1610502343
26,tuktoyaktuk,69.4541,-133.0374,-2.2,78,1,20.71,CA,1610502343
27,sokoto,13.0609,5.239,67.28,23,0,10.49,NG,1610502343
28,russkaya polyana,49.417,31.9201,26.69,95,100,11.95,UA,1610502344
29,hauterive,46.0901,3.4459,46.4,71,90,13.8,FR,1610502344
30,arraial do cabo,-22.9661,-42.0278,76.26,85,62,22.95,BR,1610502344
31,siocon,7.7061,122.1353,82.0,74,100,9.15,PH,1610502345
32,takoradi,4.8845,-1.7554,78.82,85,0,11.81,GH,1610502345
33,kalmunai,7.4167,81.8167,79.27,84,63,6.2,LK,1610502345
34,nyurba,63.2842,118.3319,-35.91,82,98,4.18,RU,1610502345
35,kavieng,-2.5744,150.7967,85.28,71,0,15.21,PG,1610502346
36,kavaratti,10.5669,72.642,80.62,68,100,25.32,IN,1610502346
37,klaksvik,62.2266,-6.589,28.4,86,75,1.14,FO,1610502347
38,ostrovnoy,68.0531,39.5131,3.34,92,0,16.02,RU,1610502347
39,pacific grove,36.6177,-121.9166,57.2,67,1,3.11,US,1610502348
40,tecoanapa,16.5167,-98.75,76.8,79,0,5.93,MX,1610502348
41,lagoa,39.05,-27.9833,59.95,85,0,9.8,PT,1610502348
42,noumea,-22.2763,166.4572,86.0,74,75,18.41,NC,1610502061
